Speaker	Title	Content
Operator	Operator	Good day and welcome to the Apple Q2 Fiscal Year 2023 Earnings Conference Call. Today's call is being recorded. At the same for opening remarks and introductions, I would like to turn the call over to Suhasini Chandramouli, Director of Investor Relations. Please go ahead.
Suhasini Chandramouli	Director of Investor Relations at Apple	Thank you. Good afternoon, and thank you for joining us. Speaking first today is Apple's CEO, Tim Cook and he'll be followed by CFO, Luca Maestri. After that, we'll open the call to questions from analysts. Please note that some of the information you'll hear during our discussion today will consist of forward-looking statements, including without limitation, those regarding revenue, gross margin, operating expenses, other income and expense, taxes, capital allocation and future business outlook, including the potential impact of macroeconomic conditions, on the company's business and results of operations.
Suhasini Chandramouli	Director of Investor Relations at Apple	These statements involve risks and uncertainties that may cause actual results or trends to differ materially from our forecast. For more information, please refer to the risk factors discussed in Apple's most recently filed Annual Report on Form 10-K and the Form 8-K filed with the SEC today along with the associated press release. Apple assumes no obligation to update any forward-looking statements or information which speak as of their respective dates.
Suhasini Chandramouli	Director of Investor Relations at Apple	I'd now like to turn the call over to Tim for introductory remarks.
Timothy Cook	Chief Executive Officer and Director at Apple	Thank you. Suhasini. Good afternoon everyone and thanks for joining us. Today, we're reporting revenue of $94.8 billion for the March quarter, which was better than our expectations. We set an all-time record for services and our March quarter record for iPhone. We were particularly pleased with the performance we saw in emerging markets and achieved all time records in Mexico, Indonesia, the Philippines, Saudi Arabia, Turkey and the UAE as well as a number of March quarter records, including in Brazil, Malaysia, and India. This result is a testament, first and foremost to our teams around the world who are engaged every day and the work of bringing new innovations to life. It speaks to the incredible power of Apple products and services to enrich people's lives in indispensable ways. And whether it's in the design lab in Cupertino, or in one of the brand-new retail stores in India, I am constantly inspired by the way our people come together to make a real difference in the world.
Timothy Cook	Chief Executive Officer and Director at Apple	During the March quarter, we continue to face foreign-exchange headwinds, which had an impact of more than 500 basis-points, as well as ongoing challenges related to the macroeconomic environment. Revenue was down 3% year-over-year as a result, while on a constant-currency basis, we grew in total and in the vast majority of the markets we track.
Timothy Cook	Chief Executive Officer and Director at Apple	Despite these challenges, we continue to manage for the long-term and to push the limits of what's possible always-on behalf of the customers who depend on our products, whether it's students exploring new frontiers, developers dreaming up their next big idea or artist taking their creativity to a whole new level.
Timothy Cook	Chief Executive Officer and Director at Apple	Let me share how these results showed up across our lineup of products and services. Let's start with iPhone, which set a new March quarter record with revenue of $51.3 billion. The iPhone 14 and 14 plus continue to delight users with their long-lasting battery and advanced camera. And our pro users continue to rave about the most powerful camera system ever in an iPhone. This March, we were excited to expand emergency SoS via satellite to six new countries bringing this important safety feature to even more users. We now offer this vital service in 12 countries and I'm grateful for every note, I've received from around the world about the lifesaving impact of our safety features.
Timothy Cook	Chief Executive Officer and Director at Apple	Now let's turn to Mac, which recorded $7.2 billion in revenue for the March quarter, in-line with our expectations. As we noted during our last call, Mac faced a very difficult compare, because of the incredibly successful rollout of our M1 ships throughout the Mac lineup last year. And like our other product lines, Mac, is facing some macroeconomic and foreign-exchange headwinds as well. That said, the advancements we've made and power-efficient performance continue to amaze our users. Are M2 Mac mini customers are raving about the pro level powerhouse packed into an ultra compact design and users are marveling at the power and speed at the heart of every M2 powered MacBook Air and MacBook Pro, which allow them to sustain even the most demanding workloads.
Timothy Cook	Chief Executive Officer and Director at Apple	IPad revenue was $6.7 billion, which was also in-line with our expectations. Similar to Mac, iPad revenue performance was impacted by macroeconomic challenges, foreign exchange headwinds and a difficult compare with last year when we launched the M1 powered iPad Air. IPad's versatility continues to be its greatest strength, as we're helping students learn on the same family of devices are just used to create their next masterpiece.
